key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
collection_upload.parameter.import_settings.label,,FALSE,Config,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
collection_upload.parameter.enabled.checkbox,,,Enabled,,,,,,,,,,,,,,,,,,,
